"epidatum","20_69_år"
2020-02-23,2
2020-02-24,0
2020-02-25,1
2020-02-26,0
2020-02-27,3
2020-02-28,5
2020-02-29,4
2020-03-01,10
2020-03-02,3
2020-03-03,9
2020-03-04,33
2020-03-05,20
2020-03-06,35
2020-03-07,36
2020-03-08,29
2020-03-09,32
2020-03-10,59
2020-03-11,52
2020-03-12,66
2020-03-13,71
2020-03-14,51
2020-03-15,88
2020-03-16,64
2020-03-17,81
2020-03-18,98
2020-03-19,94
2020-03-20,144
2020-03-21,77
2020-03-22,92
2020-03-23,123
2020-03-24,112
2020-03-25,144
2020-03-26,123
2020-03-27,172
2020-03-28,117
2020-03-29,131
2020-03-30,176
2020-03-31,168
2020-04-01,272
2020-04-02,204
2020-04-03,169
2020-04-04,162
2020-04-05,139
2020-04-06,171
2020-04-07,201
2020-04-08,168
2020-04-09,181
2020-04-10,148
2020-04-11,128
2020-04-12,141
2020-04-13,137
2020-04-14,154
2020-04-15,204
2020-04-16,138
2020-04-17,176
2020-04-18,115
2020-04-19,118
2020-04-20,152
2020-04-21,102
2020-04-22,141
2020-04-23,122
2020-04-24,140
2020-04-25,114
2020-04-26,77
2020-04-27,134
2020-04-28,125
2020-04-29,102
2020-04-30,106
2020-05-01,131
2020-05-02,82
2020-05-03,77
2020-05-04,100
2020-05-05,89
2020-05-06,101
2020-05-07,103
2020-05-08,115
2020-05-09,63
2020-05-10,82
2020-05-11,130
2020-05-12,97
2020-05-13,131
2020-05-14,90
2020-05-15,123
2020-05-16,64
2020-05-17,103
2020-05-18,141
2020-05-19,107
2020-05-20,146
2020-05-21,81
2020-05-22,109
2020-05-23,70
2020-05-24,80
2020-05-25,114
2020-05-26,119
2020-05-27,114
2020-05-28,108
2020-05-29,104
2020-05-30,91
2020-05-31,97
2020-06-01,135
2020-06-02,126
2020-06-03,127
2020-06-04,147
2020-06-05,140
2020-06-06,112
2020-06-07,88
2020-06-08,126
2020-06-09,107
2020-06-10,106
2020-06-11,107
2020-06-12,106
2020-06-13,65
2020-06-14,59
2020-06-15,126
2020-06-16,84
2020-06-17,80
2020-06-18,87
2020-06-19,65
2020-06-20,65
2020-06-21,64
2020-06-22,88
2020-06-23,71
2020-06-24,49
2020-06-25,73
2020-06-26,49
2020-06-27,27
2020-06-28,41
2020-06-29,42
2020-06-30,46
2020-07-01,45
2020-07-02,43
2020-07-03,33
2020-07-04,11
2020-07-05,15
2020-07-06,37
2020-07-07,29
2020-07-08,21
2020-07-09,22
2020-07-10,25
2020-07-11,16
2020-07-12,14
2020-07-13,23
2020-07-14,19
2020-07-15,23
2020-07-16,18
2020-07-17,13
2020-07-18,8
2020-07-19,12
2020-07-20,14
2020-07-21,18
2020-07-22,18
2020-07-23,25
2020-07-24,17
2020-07-25,7
2020-07-26,9
2020-07-27,16
2020-07-28,22
2020-07-29,16
2020-07-30,17
2020-07-31,7
2020-08-01,16
2020-08-02,11
2020-08-03,20
2020-08-04,17
2020-08-05,11
2020-08-06,17
2020-08-07,17
2020-08-08,8
2020-08-09,16
2020-08-10,23
2020-08-11,21
2020-08-12,14
2020-08-13,10
2020-08-14,19
2020-08-15,13
2020-08-16,9
2020-08-17,11
2020-08-18,19
2020-08-19,16
2020-08-20,14
2020-08-21,17
2020-08-22,8
2020-08-23,7
2020-08-24,14
2020-08-25,15
2020-08-26,15
2020-08-27,13
2020-08-28,12
2020-08-29,3
2020-08-30,20
