"epidatum","70_år_sjalvstandig"
2020-02-23,1
2020-02-24,1
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,3
2020-02-29,1
2020-03-01,3
2020-03-02,4
2020-03-03,1
2020-03-04,6
2020-03-05,3
2020-03-06,4
2020-03-07,5
2020-03-08,6
2020-03-09,8
2020-03-10,21
2020-03-11,18
2020-03-12,22
2020-03-13,26
2020-03-14,27
2020-03-15,63
2020-03-16,35
2020-03-17,44
2020-03-18,48
2020-03-19,46
2020-03-20,70
2020-03-21,32
2020-03-22,42
2020-03-23,72
2020-03-24,100
2020-03-25,95
2020-03-26,79
2020-03-27,98
2020-03-28,93
2020-03-29,86
2020-03-30,112
2020-03-31,112
2020-04-01,149
2020-04-02,122
2020-04-03,119
2020-04-04,93
2020-04-05,97
2020-04-06,164
2020-04-07,127
2020-04-08,142
2020-04-09,131
2020-04-10,113
2020-04-11,79
2020-04-12,86
2020-04-13,128
2020-04-14,130
2020-04-15,178
2020-04-16,138
2020-04-17,140
2020-04-18,98
2020-04-19,65
2020-04-20,131
2020-04-21,114
2020-04-22,111
2020-04-23,110
2020-04-24,115
2020-04-25,88
2020-04-26,76
2020-04-27,128
2020-04-28,101
2020-04-29,100
2020-04-30,95
2020-05-01,89
2020-05-02,86
2020-05-03,65
2020-05-04,101
2020-05-05,96
2020-05-06,104
2020-05-07,88
2020-05-08,82
2020-05-09,53
2020-05-10,60
2020-05-11,97
2020-05-12,71
2020-05-13,71
2020-05-14,74
2020-05-15,95
2020-05-16,55
2020-05-17,46
2020-05-18,79
2020-05-19,81
2020-05-20,87
2020-05-21,44
2020-05-22,101
2020-05-23,44
2020-05-24,48
2020-05-25,81
2020-05-26,60
2020-05-27,67
2020-05-28,78
2020-05-29,72
2020-05-30,41
2020-05-31,34
2020-06-01,86
2020-06-02,57
2020-06-03,69
2020-06-04,74
2020-06-05,70
2020-06-06,34
2020-06-07,36
2020-06-08,73
2020-06-09,58
2020-06-10,66
2020-06-11,72
2020-06-12,50
2020-06-13,22
2020-06-14,20
2020-06-15,60
2020-06-16,53
2020-06-17,45
2020-06-18,60
2020-06-19,22
2020-06-20,29
2020-06-21,23
2020-06-22,52
2020-06-23,37
2020-06-24,37
2020-06-25,33
2020-06-26,32
2020-06-27,18
2020-06-28,14
2020-06-29,27
2020-06-30,25
2020-07-01,26
2020-07-02,18
2020-07-03,13
2020-07-04,8
2020-07-05,6
2020-07-06,18
2020-07-07,10
2020-07-08,10
2020-07-09,8
2020-07-10,13
2020-07-11,2
2020-07-12,5
2020-07-13,11
2020-07-14,6
2020-07-15,13
2020-07-16,7
2020-07-17,5
2020-07-18,4
2020-07-19,6
2020-07-20,8
2020-07-21,6
2020-07-22,6
2020-07-23,5
2020-07-24,5
2020-07-25,3
2020-07-26,6
2020-07-27,5
2020-07-28,4
2020-07-29,4
2020-07-30,8
2020-07-31,4
2020-08-01,3
2020-08-02,5
2020-08-03,9
2020-08-04,4
2020-08-05,5
2020-08-06,9
2020-08-07,8
2020-08-08,7
2020-08-09,5
2020-08-10,11
2020-08-11,14
2020-08-12,3
2020-08-13,4
2020-08-14,1
2020-08-15,2
2020-08-16,5
2020-08-17,6
2020-08-18,5
2020-08-19,4
2020-08-20,4
2020-08-21,2
2020-08-22,3
2020-08-23,3
2020-08-24,5
2020-08-25,4
2020-08-26,5
2020-08-27,10
2020-08-28,4
2020-08-29,1
2020-08-30,1
